name,CLIP_sim,NIQE,BRISQUE,ImageReward,BorderLeak_MAE,BorderGradJump,PSNR_GT,SSIM_GT,LPIPS_GT,Boundary_PSNR_GT,Boundary_SSIM_GT,Boundary_LPIPS_GT,Boundary_GradL1_GT
sample_00009,0.21764439344406128,4.14465968092688,31.27455463509861,,0.0,0.06933870911598206,9.319637298583984,0.2746562957763672,0.5886590480804443,24.72934913635254,0.95243901014328,0.06277761608362198,0.17164279520511627
sample_00010,0.2979550361633301,3.875854820241286,30.66215719026215,,0.0,0.07716354727745056,11.588278770446777,0.5830663442611694,0.4149738550186157,24.245101928710938,0.9464540481567383,0.0761527270078659,0.13149625062942505
sample_00011,0.22711396217346191,3.833623101164426,26.966015519413048,,0.0,0.20150414109230042,15.919807434082031,0.8560876846313477,0.11436212062835693,26.27826690673828,0.9634155631065369,0.05074767768383026,0.11875616014003754
sample_00012,0.2502593398094177,4.616929311847323,37.066906615168335,,0.0,0.055473268032073975,15.566173553466797,0.7188214063644409,0.33193549513816833,25.640811920166016,0.930947482585907,0.10544422268867493,0.09472758322954178
sample_00013,0.33020052313804626,3.285284804092647,18.483343085542145,,0.0,0.0034411847591400146,12.657663345336914,0.5747405886650085,0.3847256898880005,23.693462371826172,0.9232556223869324,0.10959374159574509,0.11050909757614136
sample_00014,0.28103309869766235,3.54880449688075,21.946242001856007,,0.0,0.05494900047779083,13.527131080627441,0.6821173429489136,0.26643240451812744,24.100872039794922,0.9447062015533447,0.07082320749759674,0.16742731630802155
sample_00015,0.27236247062683105,4.279273588072312,11.580699817661952,,0.0,0.0288698673248291,14.912871360778809,0.5731912851333618,0.36733943223953247,23.746051788330078,0.9106220602989197,0.10938049852848053,0.12509356439113617
sample_00016,0.24995358288288116,4.242947915104246,31.42289202407366,,0.0,0.023310527205467224,14.077226638793945,0.6953275203704834,0.2895999252796173,27.89177131652832,0.9630264639854431,0.055395469069480896,0.10214647650718689
sample_00017,0.2719762325286865,2.697914440909176,10.32433653194559,,0.0,0.02475792169570923,14.876749038696289,0.7168514132499695,0.23050260543823242,24.36284828186035,0.9476889371871948,0.06136152148246765,0.1642850786447525
sample_00018,0.2672763466835022,3.961778858838482,33.2883290790148,,0.0,0.06913796067237854,20.745704650878906,0.8906111717224121,0.10089816153049469,27.227449417114258,0.9612051844596863,0.03600148484110832,0.1504146158695221
sample_00019,0.23301535844802856,3.5073866433705856,24.411899315423142,,0.0,0.06183180212974548,14.789786338806152,0.8329994082450867,0.1419469118118286,26.1285400390625,0.9651726484298706,0.02728874236345291,0.18277180194854736
__MEAN__,0.2651880219578743,3.502788253911679,21.572996358220212,,0.0,0.06265323013067245,14.676375651359558,0.700478482246399,0.26086930334568026,25.697392177581786,0.9517062097787857,0.05875819623470306,0.15877762027084827
sample_00000,0.31145188212394714,2.1893184791620017,15.47729526526993,,0.0,0.10455977916717529,8.212613105773926,0.40875372290611267,0.5664083957672119,27.678119659423828,0.9497712850570679,0.0403120294213295,0.17665401101112366
sample_00001,0.23770137131214142,2.753740211515855,11.023183431169599,,0.0,0.14736896753311157,20.14276885986328,0.8775498270988464,0.099153071641922,25.490711212158203,0.9653167128562927,0.042363788932561874,0.10914023965597153
sample_00002,0.2951522469520569,2.2857493934365616,19.52038100252568,,0.0,0.09516435861587524,16.670028686523438,0.8100306987762451,0.1366385966539383,25.435958862304688,0.963573694229126,0.04243801534175873,0.17996439337730408
sample_00003,0.27830129861831665,3.543836034291699,21.676496984704244,,0.0,0.03693827986717224,17.26485252380371,0.9014422297477722,0.08870828151702881,25.39727020263672,0.9767434000968933,0.028101537376642227,0.22326397895812988
sample_00004,0.26020562648773193,3.287052530197866,25.18878944502714,,0.0,0.06431904435157776,12.763638496398926,0.6441397666931152,0.27247154712677,25.497650146484375,0.953144907951355,0.04802984371781349,0.20298713445663452
sample_00005,0.2593766450881958,2.789279785190901,19.86555094686875,,0.0,0.05689862370491028,12.235284805297852,0.5544838309288025,0.41033852100372314,25.64683723449707,0.9525415301322937,0.06272907555103302,0.17611514031887054
sample_00006,0.23749713599681854,3.7029642201254243,22.59946459809973,,0.0,0.058629125356674194,18.082687377929688,0.8438274264335632,0.11127781867980957,24.96549415588379,0.9497585296630859,0.04632740095257759,0.20737630128860474
sample_00007,0.24745523929595947,2.8962222008298295,10.957949615069964,,0.0,0.028900504112243652,20.430709838867188,0.8930472135543823,0.07509225606918335,29.855289459228516,0.9736695289611816,0.02699488401412964,0.21443255245685577
sample_00008,0.29886671900749207,3.8745301299180377,17.84747876423782,,0.0,0.04944072663784027,14.716154098510742,0.7419599294662476,0.2419663965702057,26.92111587524414,0.9553589820861816,0.060767002403736115,0.09596996009349823
sample_00009,0.23435093462467194,3.940800248147019,27.97786841565423,,0.0,0.06349094212055206,10.82480525970459,0.2814421057701111,0.5935856103897095,25.36689567565918,0.9445379972457886,0.06955035030841827,0.15981678664684296
